headline,date,description
"BOV reports €15.2 million in profits before tax for 2020, €74 million less than 2019","Tuesday, 30 March 2021, 15:39","Bank of Valletta (BOV) reported significantly less profits for the year 2020 when compared to 2019, with €15.2 million profits before tax recorded as opposed to the €89.2 million recorded in..."
JCI Malta aids local businesses and boosts mental health through Think Inside the Box initiative,"Tuesday, 30 March 2021, 10:32",JCI Malta is attempting to boost people's morale as well as the local economy through its new initiative Think Inside the Box. The scope of this project is simple - buy a care package for...
Laferla presents outgoing Mapfre CEO with token of appreciation,"Tuesday, 30 March 2021, 09:44","The directors of Laferla Insurance Agency recently hosted the outgoing Mapfre Middlesea President & CEO, Felipe Navarro Lopez de Chicheri at their head office in Valletta to present him with a..."
UBI – a theme which resurfaces during pandemic,"Tuesday, 30 March 2021, 09:38","One is sad to read about the number of persons feared to have fallen in the poverty trap. Due to the lack of part-time job opportunities and many closed businesses, it is becoming more difficult..."
Putting Rwanda on the map for Maltese business,"Friday, 26 March 2021, 10:27",Over 120 individuals participated in a webinar on 'Trading with Rwanda' organised by TradeMalta in association with the Rwanda Development Bureau and Rwanda Private Sector Association. Rwanda...
MeDirect Bank launches home loans in the Maltese market,"Thursday, 25 March 2021, 08:52","MeDirect, a digital bank delivering access to market-leading financial products, is expanding its product suite by launching their home loan product in the Maltese market. The launch of home..."
Local company provides more than 100 new innovation ideas every year,"Wednesday, 24 March 2021, 09:32","It is a nation's pride to see a local company with an international base like Toly, which has been supplying luxury packaging to the beauty industry for more than 50 years, still at the forefront in..."
Understanding the test of corporate insolvency under the Companies Act,"Wednesday, 24 March 2021, 07:30","In the case Kenneth Xuereb v. Weber Construction Limited, decided on the 18 of March, 2021, the Civil Court (Commercial Section) (the “Court”) presided over by Hon. Judge Joseph Zammit..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Overstimulated? Stocks soar 75% in historic 12-month run,"Monday, 22 March 2021, 20:34","It was one year ago that the terrifying free fall for the stock market suddenly ended, ushering in one of its greatest runs. On March 23, 2020, the S&P 500 fell 2.9%. In all, the index..."
Frank Salt Real Estate holds its first virtual AGM: Positive performance for 2020 despite pandemic,"Thursday, 18 March 2021, 17:01","Frank Salt Real Estate’s much awaited Annual General Meeting took place earlier this week, but in an all new format, which allowed for all participants and stake holders to participate whilst..."
MDB and MEA reach agreement to collaborate further for the benefit of local businesses,"Wednesday, 17 March 2021, 10:56",The Malta Development Bank (MDB) and the Malta Employers Association (MEA) have signed a Memorandum of Understanding strengthening the relationship between the two institutions and allowing the two...
Malta 3D printing firm launches new website,"Wednesday, 17 March 2021, 09:48","One of the most innovative start-up firms in Malta has launched its website. Invent 3D Ltd provides state-of-the-art 3D printing and design services, and is based on the Bulebel Industrial..."
MFSA begins process for authorisation of Company Service Providers,"Tuesday, 16 March 2021, 17:57","From Tuesday, the Malta Financial Services Authority (MFSA) is receiving applications for authorisation in terms of the Company Services Providers (CSP) Act. This applies to individuals and entities..."
Calamatta Cuschieri appoints new Head of AML and MLRO,"Tuesday, 16 March 2021, 12:53",Calamatta Cuschieri has announced the appointment of Andrea Vrazhalska as Head of AML and MLRO.  Vrazhalska brings with her 10 years’ experience in compliance and AML after occupying several...
APS Bank registers pre-tax profit of €15.8 million in 2020,"Friday, 12 March 2021, 10:55","APS Group registered a pre-tax profit of €15.8 million for the year that ended 31 December 2020, down from the €26.8 million pre-tax profit registered the year before. The Bank posted a..."
BMIT Technologies delivers over 35% growth in dividend to €5.9m,"Thursday, 11 March 2021, 11:35","While 2020 will go down as one of the most challenging years in recent memory, it has nonetheless proved to be another successful year for BMIT Technologies plc, the premier provider of secure and..."
MFSA and MDIA issue first joint consultation on VFASPs,"Wednesday, 10 March 2021, 14:34","The Malta Financial Services Authority (MFSA), together with the Malta Digital Innovation Authority ('MDIA'), has today issued a consultation document to obtain industry feedback in relation to the..."
Epic enters into a strategic partnership with Phoenix Tower International,"Tuesday, 9 March 2021, 17:28",Epic Communications Limited today announces that it has entered into an agreement with Phoenix Tower International (PTI) for the sale of the entire share capital of M.T. Mediterranean Towers...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
UK announces a strong recovery budget,"Tuesday, 9 March 2021, 11:01",The latest UK budget has seen some startling predictions for the economy which last year shrunk by 10% - the largest fall in over 300 years. Chancellor Rishi Sunak has outlined a new £65bn...
Dr Chris Barbara delivers interactive session about COVID-19 vaccine to Atlas employees,"Tuesday, 9 March 2021, 10:24","As part of the employee wellbeing programme of Atlas Insurance, Dr Christopher Barbara recently delivered an interactive and informative online session about the COVID-19 vaccine to the..."
Every Day is Women’s Day at GoTo,"Monday, 8 March 2021, 11:40","As the world celebrates women everywhere for International Women’s Day 2021 on 8 March, GoTo acknowledges the extraordinary contribution of three of the women behind the mobility..."
CCTrader launches fractional shares and new lower rates,"Monday, 8 March 2021, 11:26","CCTrader, the award-winning online investments platform, announced the rollout of fractional Stocks and ETFs, as well as the launch of new lower rates ahead of its 10-year anniversary.   With..."
Public survey on mobility needs,"Friday, 5 March 2021, 13:52","As part of its effort to continue to improve mobility in Malta, Malta Public Transport has embarked on a study to assess travel patterns in Malta in order to be able to provide tangible solutions that..."
USD poised to perform,"Friday, 5 March 2021, 13:27","The near-term, tactical outlook for the US Dollar appears positive. An unchanged message from Fed Chair Powell in Thursday's live Q&A, despite the recent Treasury market sell-off, may be viewed by..."
‘Gozo’s business potential is immense’ – CEO Gozo Business Chamber,"Thursday, 4 March 2021, 11:36","Increasing accessibility to Gozo can enable a strategy where further economic niches can be created in Gozo, Daniel Borg, CEO of Gozo Business Chamber, said.  Asked by The Malta Business..."
Farsons awarded in Malta VET Awards,"Thursday, 4 March 2021, 10:07","Simonds Farsons Cisk plc was recently awarded the Training at Work Award in the Malta VET Awards in a ceremony organised by the Ministry of Education on 23rd February. The Malta VET Awards, a..."
APS Bank sponsors Anna Calleja’s exhibition - Homebound,"Wednesday, 3 March 2021, 12:31","APS Bank is the main sponsor of the exhibition titled Homebound, by young artist Anna Calleja. This is the artist's first solo exhibition, which is being hosted at the Malta Society of Arts, Palazzo..."
MDB consults to significantly revamp its Family Business Transfer Facility,"Wednesday, 3 March 2021, 12:29","The Malta Development Bank is currently undertaking a major revamp of its Family Business Transfer Facility, a scheme which seeks to assist and facilitate family businesses to transfer their business..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
APS Bank launches myAPS Business,"Wednesday, 3 March 2021, 12:28","APS Bank has announced the roll-out of myAPS Business, a new internet and mobile banking platform for business customers. The facility permits these customers to access their accounts online, view..."
"Melita first in Malta to sign up 100,000 broadband subscribers","Wednesday, 3 March 2021, 12:27","New figures released by the Malta Communications Authority show that Melita has continued to grow its broadband internet customer base, making it the first operator in Malta to sign up more than..."
Online seminar for South Africans interested in relocating to Malta,"Wednesday, 3 March 2021, 12:26","Over 200 South African nationals logged into a virtual seminar organised by Frank Salt Real Estate to find out more about the latest options for foreign nationals considering relocating, investing or..."
"Blockchain, Bitcoin and VFA saga","Wednesday, 3 March 2021, 12:25","With hindsight, we recall that in 2018, the Minister for Economy, Investment and Small Business, Silvio Schembri called a press conference to announce the publication of a consultation document..."
JCI Malta celebrates Women’s Day with online business breakfast,"Wednesday, 3 March 2021, 11:52","Every year, on the 8th of March, International Women's Day celebrates the social, economic, cultural, and political achievements of women.  On this occasion, JCI Malta is bringing together a..."
Why RS2’s expansion strategy is considered as a growth story,"Wednesday, 3 March 2021, 09:29","The coronavirus pandemic has caused a surge in demand for contactless payments, and has undoubtedly accelerated the shift from the traditional cash transactions to digital and electronic methods...."
Markets surge higher,"Tuesday, 2 March 2021, 11:05","The S&P 500 surged on Monday in its strongest one-day gain since June as bond markets calmed after a month-long selloff, while another COVID-19 vaccine getting U.S. approval and fiscal stimulus..."
MeDirect Bank Malta receives the NCPE Equality Mark Certification,"Tuesday, 2 March 2021, 08:46","The National Commission for the Promotion of Equality (NCPE) has awarded MeDirect Bank Malta the Equality Mark Certification, reinforcing the bank's commitment towards equality at work and in the way..."
"HSBC temporarily closes Victoria, Gozo Branch due to Covid-19","Friday, 26 February 2021, 19:50","HSBC Malta has announced that its branch in Victoria, Gozo, has temporarily closed, with immediate effect, after positive testing for Covid-19. The Bank announced that the branch will remain closed at..."
€7 million investment in a new factory in Bulebel by Gutenberg,"Friday, 26 February 2021, 14:11",Gutenberg will be investing in a new factory in Bulebel with a €7 million investment. This was announced during a visit by Economy and Industry Minister Silvio Schembri to the same factory...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Maltco Lotteries supports the University of Malta and the Institute of Digital Games,"Thursday, 25 February 2021, 11:28",Maltco Lotteries are once again cooperating on research projects led by academics at the Institute of Digital Games at the University of Malta. This announcement has been made as part of the company's...
Markets end higher,"Thursday, 25 February 2021, 10:17","Shares on Wall Street ended higher on Wednesday, as a selloff in technology-related stocks eased and a rotation into cyclical shares continued after Federal Reserve Chair Jerome Powell's comments..."
Let us talk about DAC6,"Wednesday, 24 February 2021, 14:12","DAC6 arose out of Action 12 of the OECD's base erosion and profit shifting (BEPS) project, which recommended that jurisdictions should introduce a regime for the mandatory disclosure of aggressive..."
Fundamentals remain strong despite Covid-19 challenges for HSBC Malta; pre-tax profit down to €10.4m,"Tuesday, 23 February 2021, 10:10","Reported profit before tax for the year ended 31 December 2020 was €10.4m. This represents a decrease of €20.3m or 66% compared to prior year. While there were no notable items in 2020,..."
All new HILTI Power Tool showroom,"Monday, 22 February 2021, 19:21","Hilti Malta recently opened the doors to their new, fully renovated showroom located side by side to Panta House in Valley Road Msida. The space is a lot more than just a showroom. It offers clients a..."
"Redorange reboots it’s brand, manifesto and strategy","Friday, 19 February 2021, 09:07","Gifted to our clients, collaborators and suppliers in the follow up to Valentine's Day, the decadent initiative gives a peak to Redorange's fresh new look, and highlights who we are and what the brand..."
Maltese businesses more sceptical about improving profits than foreign counterparts - Chamber report,"Thursday, 18 February 2021, 18:00","Maltese businesses appear to be more sceptical about improve their profitability than their foreign counterparts, with only 38% of 105 CEOs saying that they expected an increase in profits in the next..."
Farsons chairman Louis Farrugia turns 70,"Thursday, 18 February 2021, 15:14","The chairman of the Farsons Group Louis Farrugia has turned 70 years old. Born on 18 February 1951, Farrugia is one of Malta’s foremost businessmen, and he has been recognised by the..."
Markets end mixed,"Wednesday, 17 February 2021, 15:35","US stocks ended mixed on Tuesday, with the Dow scraping out a new closing high as cyclical sectors gained on the prospect of more fiscal aid to lift the U.S. economy from a coronavirus-driven slump...."
Chamber of Advocates’ webinars attract wider following,"Wednesday, 17 February 2021, 14:20","Since the Chamber of Advocates has been hosting its series of quarterly seminars online via Zoom webinars, attendance has been gradually increasing. ""The Chamber has always believed in the..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Real estate as a store of value,"Tuesday, 16 February 2021, 13:00","The term store of value is used to describe an asset which does not depreciate in value, such as real estate, art and other collectables. One might also be tempted to add equity markets given the..."
MeDirect webinar to focus on sustainable investments,"Tuesday, 16 February 2021, 12:55","MeDirect Bank is organising the first medirectalk investment webinar for 2021 with the theme being ""Sustainable Investment: investing for a better future"". The event will provide an expert overview of..."
Ivalife Insurance Limited receives regulatory authorisation,"Tuesday, 16 February 2021, 09:46","APS Bank plc is pleased to announce that on 1 February, the Malta Financial Services Authority gave its authorisation to Ivalife Insurance Limited to carry out the..."
Freeport selected for prestigious super containership route powered by LNG,"Tuesday, 16 February 2021, 09:45","Malta Freeport Terminals has been selected to be among the weekly ports of call for CMA CGM's super containerships powered by Liquefied Natural Gas, which emits up to 20% less CO2 when..."
"Unicorns, AI and the quest for new vaccines","Tuesday, 16 February 2021, 09:44",Let us for a moment take a break from the dull news endlessly telling us about ravages caused by the coronavirus pandemic. The good news is that one can reflect for a moment and contemplate the...
Malta Sotheby’s International Realty raises a glass to new beginnings,"Monday, 15 February 2021, 17:32","Malta Sotheby's International Realty welcomed in the New Year with their annual company assembly at the renowned Hilton Hotel in Portomaso, just a stone's throw away from their Portomaso Office in the..."
Chamber of SMEs wins the EESC civil solidarity prize,"Monday, 15 February 2021, 13:07",The Malta Chamber of SMEs has won the European Economic and Social Committee (EESC) solidarity prize. The entry submitted by the Maltese Chamber of SMEs is among 23 projects from the EU and the...
Markets off their highs,"Thursday, 11 February 2021, 10:29",US markets edged slightly lower on Wednesday as big tech stocks slid amid an ongoing rotation of portfolio holdings that gave a boost to energy shares and kept the overall market near record highs....
Markets at all-time highs,"Tuesday, 9 February 2021, 13:37","Wall Street reached all-time closing highs on Monday as investor optimism was stoked by prospects of a speedier economic recovery from the global health crisis, driven by increased stimulus and an..."
GO ramps up Customer Service with NetSuite,"Sunday, 7 February 2021, 15:29","GO, Malta's leading telecoms services provider, has chosen Oracle NetSuite to help deliver a superior experience for its customers. With NetSuite, GO will be able to gain a unified view into its..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
New directors appointed at Panta,"Saturday, 6 February 2021, 12:12","Renowned building services contractor Panta has appointed two new directors, Katrina Attard and Kris Micallef. As third-generation members of the family united behind the long-standing industry..."
"‘Providing tools doesn't mean you’ve bought one’s life’ – UĦM on remote working, Right to Disconnect","Thursday, 4 February 2021, 10:31","Employers must understand that just because they provide the option and the tools for their employees to work remotely, they have not bought one’s entire life, UĦM – Voice of the..."
"158,000 business enquiries, 75% linked to Covid-19 – Business 1st CEO","Thursday, 4 February 2021, 10:04","Business 1st was one of the frontline offices within Malta Enterprise during the past months, working tirelessly, at some points even 7 days a week, in order to help businesses to survive this..."
Markets continue higher,"Wednesday, 3 February 2021, 12:07","U.S. stocks finished sharply higher for a second straight day on Tuesday, helped by gains in Amazon.com and Google-parent Alphabet ahead of their results and by optimism over progress on a U.S...."
Maltco Lotteries awards five agents for their 2020 achievements,"Wednesday, 3 February 2021, 10:45",Maltco Lotteries presented 5 different awards to agents who were recognised for their achievements in different matters related to their work. This was possible following the introduction of a Retail...
Bank of Valletta to continue with its defence in relation to Deiulemar case,"Wednesday, 3 February 2021, 09:42","Bank of Valletta has said that it will continue with its defence in relation to the Deiulemar case, stating that the ECHR's rejection of its case is on the basis of the fact that they had not..."
Gaining insight into the future of business and technology and Malta,"Tuesday, 2 February 2021, 14:32","Deloitte Malta has announced the launch of the ""2021 Malta Technology Leadership Survey"" which aims to examine the broader scope and evolution of tech leadership roles in Malta and deliver a report on..."
Debating government financial intervention during a pandemic,"Tuesday, 2 February 2021, 10:00",It comes as no surprise that various governments have dug deep in their pockets (and borrowed hard) to help their economies during this pandemic. Is government's financial intervention aimed to give a...
Risk-based approach to trusts and foundations discussed during FinanceMalta webinar,"Thursday, 28 January 2021, 11:19","The risk-based approach adopted by banks towards trusts and foundations was discussed in detail during FinanceMalta's first webinar of 2021, attended by over 200 participants. ""Banks in Malta:..."
Global markets take a step back,"Thursday, 28 January 2021, 11:00","Stocks fell around the world on Wednesday as investors turned more cautious over stretched valuations and the economic impact of the COVID-19 pandemic, while the dollar rose on its safe-haven appeal...."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
HSBC €5 customer account fee does not constitute unfair commercial practice – MCCAA,"Tuesday, 26 January 2021, 18:00",HSBC Malta’s customer account fee does not constitute as an unfair commercial practice under the Consumer Affairs Act according to the Director General within the Malta Competition and Consumer...
Carl Brincat appointed Malta Gaming Authority CEO,"Tuesday, 26 January 2021, 14:40","Carl Brincat has been appointed as the CEO of the Malta Gaming Authority (MGA) after a public call, the Economy Ministry announced on Tuesday. In a statement, Minister for the Economy and..."
"Gozitan companies to benefit up to €65,000 yearly from Gozo Back Office Employment Refund Scheme","Tuesday, 26 January 2021, 14:18","Gozitan companies will be able to benefit from €65,000 per annum in salary reimbursements from the newly launched Gozo Back Office Employment Refund Scheme, one of the main budget measures for..."
Markets bounce from highs but still close at records,"Tuesday, 26 January 2021, 13:55","U.S. stock indexes surged during early trade on Monday but closed off their intra-day highs, although the S&P and Nasdaq still finished at record levels, as concerns over the timing and scope of..."
Invest in green energy with the new BOV Personal Energy Loan,"Tuesday, 26 January 2021, 13:52",Bank of Valletta has launched the BOV Personal Energy Loan to assist customers finance a wide array of green energy products.  The BOV Personal Energy Loan can cover the costs of...
The Malta government Covid-19 property incentives are due to expire soon,"Tuesday, 26 January 2021, 09:16","Last June, the Maltese government unveiled a multi-million economic stimulus package to help boost the economy which had an adverse impact due to the Covid-19 pandemic. The recovery programme included..."
AirAsia Group to raise up to USD 113 million via private placement,"Friday, 22 January 2021, 12:10","Market summary The Maltese market closed in the red on Thursday, with the MSE total index ending the session 0.288% lower to 8,215.351 points. The best performer was Mapfre Middlesea plc, it..."
AirAsia Group to raise up to USD 113 million via private placement,"Friday, 22 January 2021, 12:07","The Maltese market closed in the red on Thursday, with the MSE total index ending the session 0.288% lower to 8,215.351 points. The best performer was Mapfre Middlesea plc, it added 4.85% to close at..."
MaltaPost p.l.c. Annual General Meeting,"Friday, 22 January 2021, 10:30",The following resolutions are being presented for consideration at the Annual General Meeting (AGM) of the Company to be held on Friday 12 February 2021 at 11.00am. In the interests of health and...
Vaccine passport not a quick fix to normality – Tony Zahra,"Thursday, 21 January 2021, 11:04","While a vaccine certificate will help resume confidence in people to travel, it’s only one aspect of a highly multifaced issue in regaining the steps to normality and opening borders. Tony..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Express Trailers invests in new fleet of pharma trailers,"Wednesday, 20 January 2021, 12:58","“This is the right time to invest because we believe the current situation will pass and when business picks up again, we need to be fully prepared.” Franco Azzopardi, Group CEO of..."
London Stock Exchange set to close Refinitiv deal on January 29,"Wednesday, 20 January 2021, 11:29","Market summary The Maltese market closed in the red on Tuesday, with the MSE total index ending the session 0.007% lower to 8,241.218 points. The best performer was Harvest Technology plc, by..."
US markets remained closed on Monday for the Martin Luther King Jr. federal holiday.,"Tuesday, 19 January 2021, 13:20",European stocks rose as a jump in carmaker Stellantis and luxury stocks helped reverse early market losses due to worries about an economic recovery and losses in French grocer Carrefour. The...
Is climate change stupid?,"Tuesday, 19 January 2021, 09:37","In any discussion about climate change and its sister topic ""renewable energy"" the critical issue is how quickly the world can implement decarbonization to stave off the worst effects of rising..."
"For us, it’s now – or for future generations, it could be never","Tuesday, 19 January 2021, 08:42","Ask most companies today about their long-term plans and most will assume you are referring to the next few months, rather than years. And yet, in just a decade, the long- and short-term plans of..."
"HSBC temporarily suspends €5 customer account fee, in talks with Central Bank and MFSA","Saturday, 16 January 2021, 12:40","HSBC Malta has temporarily suspended it €5 customer account fee programme in view of on-going discussion with Central Bank and the Malta Financial Services Authority (MFSA), the Authority said in..."
Global markets edge higher,"Thursday, 14 January 2021, 16:10",US stocks ended slightly higher on Wednesday with defensive sectors leading gains as investors waited for details of the next U.S. fiscal stimulus plan and Congress began President Donald...
FinanceMalta to hold webinar on banks’ approach to trusts and foundations,"Thursday, 14 January 2021, 14:16","FinanceMalta will organize its first webinar of 2021 on the topic ""Banks in Malta: Dealing with Trusts & Foundations"". The event will be held on Wednesday 27 January at 15.00hrs. The webinar,..."
"‘We can expect to lose well-loved brands’ – CEO, Chemimart Group","Thursday, 14 January 2021, 12:50","“Things are changing, and in many cases, it’s just not viable to bring in small quantities of pharmaceuticals anymore from the UK” Pierre Fava, Chemimart Group CEO told the Malta..."
"Emirates partners with Arsenal, Real Madrid and AC Milan to give fans the surprise of their lives","Wednesday, 13 January 2021, 09:46","Emirates enlisted the help of Arsenal, Real Madrid and AC Milan to surprise its most deserving fans and reconnect them with their favourite football clubs. In a year filled with video calls, it was..."
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
RSM Malta appoints George Gregory as Managing Partner on the retirement of Maria Micallef,"Wednesday, 13 January 2021, 09:28","RSM Malta announces the appointment of Mr. George Gregory as Managing Partner as from 1st January 2021, following the retirement of Ms. Maria Micallef on 31st December 2020. Ms. Micallef has been..."
Investment warning for Bitcoin traders as cryptocurrency’s value plummets,"Monday, 11 January 2021, 16:00","Bitcoin traders have been warned against investing in the virtual currency after a huge drop in value over the weekend.  The value of Bitcoin had reached a record high over the weekend, but..."
Will 2021 see new transfer pricing rules?,"Sunday, 10 January 2021, 07:44",So far transfer pricing (TP) rules are not in force locally even though we know that about sixty other countries use it.  There is an indirect reference to transfer pricing in the concept of...
‘UK was not prepared to adopt the EU’s rule book for financial services’ – British High Commissioner,"Thursday, 7 January 2021, 13:49","Last week the world saw the UK leaving the European Union, with a deal in hand. Dayna Camilleri Clarke spoke with British High Commissioner, Cathy Ward to discuss what Brexit means for the financial..."
Chetcuti Cauchi Advocates announces prestigious collaboration with Andersen Global in Malta,"Thursday, 7 January 2021, 12:39",Andersen Global continues to expand its European coverage through a collaboration agreement with Valletta-based Maltese law firm Chetcuti Cauchi...
Markets soar to all-time highs,"Thursday, 7 January 2021, 11:01","The Dow and the S&P 500 ended higher, soaring to all-time highs on Wednesday, as investors piled into financial and industrial stocks on bets a Democratic sweep in Georgia would lead to more..."
Business representatives say new wage supplement scheme promotes fairness,"Thursday, 7 January 2021, 08:52","The new wage supplement scheme promotes more fairness, representatives of the business sector told to The Malta Independent, noting that the future for businesses depends on the vaccine’s..."
Calamatta Cuschieri set to kick off the new year with investment webinar,"Wednesday, 6 January 2021, 12:39","Calamatta Cuschieri, Malta's largest independent financial services group, will be organising an investment webinar covering 2021 Market Predictions via its Facebook page on Thursday, January 14 at..."
Atlas Insurance thanks its former Managing Director and CEO Michael Gatt,"Wednesday, 30 December 2020, 17:49","Atlas Insurance recently thanked its former Managing Director and CEO Michael Gatt, who retired earlier this year, during an event held at the insurer's head office in Ta'Xbiex. In April 2020,..."
Renewable energy accounted for 25.7% of energy used in heating and cooling in Malta in 2019,"Wednesday, 30 December 2020, 09:00",A Eurostat report shows that energy accumulated through renewable sources accounted for 25.7% of the energy used for heating and cooling systems in Malta in 2019. This is 4.6% higher than the EU...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
The best approach to a successful affiliate site,"Wednesday, 16 December 2020, 09:30",Affiliate marketing is one of the few industries that has withstood the COVID-19 virus well. Forbes recently published an article about the topic and concluded that some affiliate businesses had seen...
Markets end mixed,"Tuesday, 15 December 2020, 13:20","The S&P 500 ended lower on Monday, weighed down by Walt Disney, while Alexion Pharmaceuticals jumped on a $39 billion buyout offer from AstraZeneca in one of the year’s biggest deals. U.S...."
Facebook rebranded Libra as Diem,"Tuesday, 15 December 2020, 12:24","Global regulators particularly those in Europe feared that Libra, at least in theory, could drastically change or even undermine their hegemony. Unlike bitcoin and other cryptocurrencies, whose appeal..."
Maltese retail investment funds can withstand worst-case redemption requests – MFSA Report,"Thursday, 10 December 2020, 12:13","The Malta Financial Services Authority has published a report titled “Liquidity Stress Testing for Maltese retail funds”. This report, which was authored by Francesco Meglioli and..."
"‘We see businesses as a major partner in this endeavour’, Aaron Farrugia says on new waste plan","Thursday, 10 December 2020, 11:22","This week the Government launched a comprehensive long term Waste Management Plan, for the next 10 years. The plan will be issued for public consultation in the coming days, and Environment Minister..."
ANCHOVY. and PwC Malta embark on data-driven journey,"Thursday, 10 December 2020, 10:59","Digital leaders ANCHOVY. together with PwC Malta have announced their strategic collaboration by officially launching Onest. Founded back in 2019, Onest is a bold and innovative company that aims..."
Corinthia Palace introduces Holiday Gift Shop,"Wednesday, 9 December 2020, 14:44","Corinthia Palace in Attard has opened an exclusive Holiday Gift Shop within the hotel throughout the festive period. The luxury-oriented store offers the ultimate place for Christmas shopping,..."
Markets continue to climb,"Wednesday, 9 December 2020, 12:41","U.S. stocks closed higher on Tuesday, with the S&P and Nasdaq setting record highs, in part due to a boost from the healthcare sector on positive COVID-19 vaccine news, while uncertainty over..."
Forestals Professional offers remote working solutions,"Wednesday, 9 December 2020, 10:10","Remote working solutions for companies and professionals are being offered by Forestals Professional through its Assess IT service. As more and more of us are holding meetings online, teaching..."
Markets climb higher,"Monday, 7 December 2020, 13:09",Wall Street’s main indexes rose to all-time highs on Friday as data showing the slowest U.S. jobs growth in six months raised investors’ expectations for a new fiscal relief bill to help...
,,Atlas Insurance and SOS Malta launch VR…
,,MDB hosts 20 European institutions to…
,,BOV encourages smarter money management…
,,Maltese Payroll Software Company Buddy…
,,HSBC Malta Foundation supports K-9…
,,New shores beckon for Boston Multi…
,,Trump economics: Inflation trends and…
,,Fundación MAPFRE supports P.O.P – Up'…
Forestals Professional trailblaze high-end IT storage solution,"Friday, 4 December 2020, 13:48",A high-end storage device that will help companies meet ever-changing IT demands and avoid critical disruptions is being offered to companies for the first time in Malta by Forestals...
MFSA issues warning on clone website,"Friday, 4 December 2020, 11:35","The Malta Financial Services Authority (MFSA) has become aware of an entity operating under the name of Advent Trading Limited, which has an internet presence..."
How Online Casinos have thrived during the pandemic,"Friday, 4 December 2020, 08:00","During the pandemic, people have been spending time online more than ever before. Working from home, attending online classes or even communicating with friends and loved ones have moved to the..."
Atlas Insurance joins Lava Rewards,"Thursday, 3 December 2020, 13:47",Atlas Insurance has joined Lava Rewards to become the first service-based company to form part of the highly successful rewards programme. Lava Rewards is a rewards programme which allows...
Is Malta still a good place to start an iGaming business?,"Thursday, 3 December 2020, 13:33",Most people who have tried their luck in some of the biggest online casinos in the world have seen the small license logo at the bottom. Malta has been the best place to legally open an online...
